chunk_id,partial_order,chunk_size,resolution_size
794236,manual,5,7
794282,manual,3,7
794283,True,3,1
794389,True,7,4
794478,True,12,10
794486,True,2,1
794492,manual,2,7
794494,manual,10,13
794498,True,2,1
794521,manual,21,20
794527,True,9,6
794557,True,3,2
794559,manual,5,7
794561,True,3,1
794563,True,3,1
794564,manual,10,14
794565,True,3,1
794566,True,14,2
794569,True,9,3
794571,True,9,8
794573,True,9,1
794578,True,2,1
794586,manual,4,7
794613,True,20,12
794730,True,3,2
794733,True,5,1
794736,True,3,1
794738,True,3,1
794741,True,10,7
794745,True,3,1
794762,True,14,3
794768,True,9,8
794771,True,9,1
794775,manual,2,7
794783,True,4,1
794749,manual,20,19
794781,True,11,10
794786,manual,25,20
794789,True,12,9
794804,True,20,13
794845,manual,75,43
794829,True,2,1
794835,True,4,2
794887,True,8,7
794957,True,20,17
794962,True,20,9
795027,manual,9,13
795115,True,8,4
795131,True,5,3
795171,manual,40,31
795187,manual,30,9
795220,True,4,2
795226,True,10,9
795251,manual,12,13
795291,True,6,3
795302,True,13,11
795604,manual,64,36
795695,manual,37,29
795717,manual,58,42
795833,True,9,6
795834,manual,7,8
795874,True,3,1
795880,True,4,2
795888,True,4,2
795909,True,6,3
795912,True,3,1
795915,manual,132,17
795965,True,3,1
795977,True,5,5
795980,True,3,2
795986,manual,116,8
795849,True,10,6
795896,True,14,10
796005,True,7,3
796011,True,4,2
796014,True,4,2
796018,True,4,2
796109,manual,30,26
796117,True,13,12
796136,manual,102,107
796158,True,11,9
796162,True,15,8
796478,True,13,9
796485,True,3,2
796489,True,6,3
796498,manual,8,12
796508,True,5,3
796581,True,9,5
796587,True,7,6
796592,manual,5,9
796648,True,7,3
796707,True,4,3
796710,True,10,8
796693,True,3,2
796696,True,6,1
796699,True,9,8
796731,manual,8,9
796734,True,5,4
796739,manual,6,12
796820,True,5,3
796828,manual,25,31
797140,True,2,1
797158,True,23,14
797166,True,17,12
797173,True,7,5
797178,True,3,2
797181,True,14,10
797190,True,21,12
797194,True,3,2
797196,manual,10,13
797203,manual,7,11
797207,True,3,2
797210,True,7,5
797214,True,3,2
797217,True,3,2
797220,True,3,2
797223,True,3,2
797227,True,3,2
797230,True,3,3
797233,True,3,3
797236,True,3,2
797250,True,3,2
797252,True,3,2
797254,True,3,2
797256,True,3,2
797258,manual,69,50
797267,True,7,5
797270,True,3,2
797272,True,3,2
797274,manual,9,13
797277,True,3,2
797279,True,7,5
797282,True,3,2
797284,True,3,2
797286,True,6,5
797292,manual,5,10
797295,True,3,2
797297,True,3,2
797304,manual,3,8
797306,True,3,2
797308,manual,12,13
797311,True,8,6
797314,True,11,8
797320,manual,3,8
797322,True,7,6
797324,True,7,6
797327,manual,10,13
797329,manual,10,15
797334,True,10,8
797338,True,5,3
797340,True,6,4
797343,True,6,5
797348,manual,13,21
797353,manual,29,30
797358,manual,18,21
797363,True,3,2
797365,True,3,2
797367,True,12,7
797370,True,3,2
797372,True,4,3
797387,True,19,6
797391,manual,5,9
797393,True,3,2
797396,True,3,2
797398,True,3,2
797400,manual,44,31
797407,True,3,2
797409,True,3,2
797413,True,3,2
797415,manual,19,26
797419,True,3,2
797421,True,3,2
797423,manual,10,15
797427,True,3,2
797428,True,17,14
797432,manual,3,10
797435,True,5,4
797437,True,5,4
797438,True,5,4
797441,True,5,4
797443,manual,4,10
797444,True,3,2
797447,True,3,2
797450,manual,1,8
797453,manual,14,17
797456,manual,18,20
797460,manual,8,13
797464,manual,1,8
797465,True,3,2
797468,True,3,2
797470,manual,3,8
797472,True,5,4
797476,True,5,4
797480,True,5,4
797483,True,5,4
797486,True,5,4
797493,True,3,2
797496,True,3,2
797504,True,3,2
797505,True,3,2
797512,True,8,7
797516,manual,36,29
797522,manual,12,14
797535,True,3,2
797555,True,3,2
797557,True,3,2
797560,True,3,2
797561,True,3,2
797563,True,3,2
797566,True,21,3
797591,True,5,3
797593,manual,98,89
797616,True,8,7
797621,True,4,2
797636,manual,12,9
797643,True,3,2
797644,manual,17,16
797686,True,7,4
797697,manual,7,8
797700,True,6,3
797706,manual,8,13
797717,True,9,7
797720,True,9,7
797722,True,9,7
797725,manual,33,26
797850,True,3,2
798752,True,4,2
798958,True,4,3
800017,True,6,5
798430,manual,29,11
798012,manual,13,18
798021,manual,139,79
798020,True,3,2
798026,True,3,2
798032,True,12,7
798036,manual,9,13
798050,manual,5,10
798053,True,13,12
798070,True,17,14
798072,manual,9,8
798099,manual,401,33
800361,manual,7,7
800362,manual,20,14
800378,True,8,4
800452,manual,21,19
800458,manual,14,10
800494,manual,6,11
800508,True,12,10
800540,True,12,9
800543,manual,8,11
800614,manual,17,12
800618,True,5,2
800642,True,8,3
800645,True,7,4
800035,True,3,2
800037,manual,77,79
800044,True,17,9
800053,True,3,2
800055,True,2,1
800062,True,4,2
800063,True,4,2
800066,manual,3,8
800068,True,4,2
800071,True,4,2
800072,manual,4,8
800088,True,4,2
800090,True,4,2
800092,True,4,2
800095,True,4,2
800098,True,4,2
800100,True,4,2
800703,True,3,2
800705,True,10,4
800709,True,12,8
800766,True,4,2
800933,manual,22,24
801385,manual,4,8
801410,manual,35,21
801481,manual,8,8
800885,manual,229,129
800103,True,5,3
801626,True,5,1
800105,manual,6,7
801631,True,9,6
801672,manual,126,120
801699,True,11,6
801734,manual,128,120
801758,True,5,4
800123,manual,8,13
801673,True,3,3
801675,True,8,4
801683,True,4,2
801686,True,4,2
801687,manual,2,8
801691,True,6,2
801693,True,9,2
801717,True,4,2
801703,True,4,1
801679,True,12,10
801681,True,4,2
800149,True,4,2
801682,True,4,2
800152,True,4,2
800155,True,9,7
800159,True,9,7
801729,True,5,3
800228,True,3,2
800233,True,26,11
801781,True,39,29
801785,True,20,12
801963,manual,7,7
801886,manual,16,10
800260,True,7,6
802120,True,7,6
802121,True,5,4
802125,True,14,3
802152,True,5,3
802154,True,5,3
802157,True,17,9
802158,True,5,3
802167,manual,11,12
802168,True,34,9
802269,True,9,7
802202,True,3,2
802209,True,3,1
802211,manual,35,22
802295,True,5,4
802213,True,6,5
802216,True,13,6
802222,True,13,6
802239,True,6,5
802241,True,15,7
802249,True,16,7
802351,True,5,3
802256,True,16,7
802394,True,6,3
802416,True,2,1
803192,manual,24,28
803048,manual,17,15
803117,manual,22,20
803135,manual,745,363
803189,manual,6,8
803213,manual,10,13
803217,manual,12,13
803143,True,5,4
803144,True,11,10
803233,True,5,3
803243,True,3,2
803255,True,9,2
803277,True,4,2
803479,True,13,9
803775,True,7,4
803195,True,24,12
803910,True,19,18
804175,manual,2,8
804204,True,14,6
804260,True,9,2
804284,True,3,1
804287,True,3,1
804299,True,14,6
804951,True,4,2
804953,True,4,2
804954,True,4,2
804956,True,4,2
804963,True,5,4
804832,True,3,2
804851,manual,6,8
804861,True,4,2
804988,True,2,1
805214,True,21,12
805224,manual,10,14
805262,manual,28,20
805356,manual,289,169
805722,manual,120,124
805895,manual,10,11
806167,manual,47,13
806320,manual,142,77
806281,True,4,2
806283,True,4,2
806285,manual,7,8
806287,True,5,2
806288,True,4,2
806348,manual,84,86
806424,True,4,1
806499,True,7,6
806503,True,7,6
806543,True,2,1
806823,True,19,13
806843,True,4,2
806847,True,12,6
806895,True,25,9
806920,True,9,4
806924,True,8,1
806936,True,18,1
806950,True,10,6
807024,manual,8,9
806955,manual,25,19
807148,manual,21,24
807195,manual,107,26
807320,manual,18,12
806916,True,33,32
807035,True,4,3
807111,True,7,3
807120,manual,45,33
807125,manual,46,32
807133,manual,26,20
807146,True,14,11
807199,True,5,4
807200,True,15,8
807222,True,4,2
807225,True,14,2
807235,manual,15,18
807238,True,5,2
807292,True,4,2
807294,True,7,5
807297,True,11,8
807564,True,10,6
807612,True,3,2
807616,manual,10,10
807620,manual,3,7
807632,True,5,4
807637,True,4,2
807656,True,5,4
807660,True,10,8
808589,manual,4,7
808590,True,3,1
807676,manual,29,18
807680,manual,3,8
807683,True,5,3
807690,manual,8,11
807696,True,35,15
807705,manual,2063,1168
807906,manual,12,11
807976,manual,8,15
807991,True,3,2
807993,True,4,2
807997,True,4,2
808000,manual,6,8
808003,True,3,2
808006,True,4,2
808008,True,19,13
808014,True,3,2
808043,True,4,3
808046,True,3,2
808053,True,6,5
808068,manual,3,8
808081,True,8,5
808086,manual,4,8
808110,manual,6,12
808141,True,4,2
808144,True,2,2
808149,True,4,5
808163,True,9,2
808667,True,15,10
808747,manual,24,23
808786,manual,11,12
809354,True,9,2
806002,True,13,11
810326,True,14,8
810310,True,68,38
810316,manual,19,18
811450,True,8,1
811451,manual,33,23
811454,manual,33,13
811457,True,9,3
810328,True,14,8
810360,False,18,9
811560,True,11,4
811563,manual,10,8
810363,manual,18,15
810367,manual,20,18
810371,False,24,12
810376,True,3,2
811622,True,16,12
811623,manual,20,18
811625,True,12,10
