chunk_id,v1_percentage,v2_percentage,intersection_percentage,chunk_composition,missing_v1_lines,missing_v2_lines,missing_v1_lines_perc,missing_v2_lines_perc,v1_size,v2_size
778747,0.33,0.67,0.0, v2 v1,1,0,50.0,0.0,2,2
778768,0.5,0.5,0.0, v1 v2,0,1,0.0,50.0,1,2
778783,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778786,0.08,0.92,0.0, v2 v1,0,3,0.0,20.0,1,15
778845,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778894,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778900,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778943,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778977,0.0,1.0,0.0, v2,0,10,0.0,90.91,0,11
778979,0.97,0.72,0.69, (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 v2 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2),0,66,0.0,75.86,28,87
778998,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779007,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778801,0.89,0.22,0.11, (v1_2) v1 (v1_2) v1 v2,0,0,0.0,0.0,30,6
778868,1.0,0.0,0.0, v1,2,11,16.67,100.0,12,11
778886,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
779095,0.86,0.43,0.29, v1 v2 v1 (v1_2) v1,1,4,14.29,57.14,7,7
779457,1.0,0.8,0.8, (v1_2) v1 (v1_2) v1,0,1,0.0,20.0,5,5
779501,1.0,0.44,0.44, (v1_2) v1 (v1_2) v1 (v1_2) v1,1,5,10.0,55.56,10,9
779040,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779049,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779054,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779064,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779083,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779100,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779228,0.91,1.0,0.91, (v1_2) v2 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2),1,16,9.09,59.26,11,27
779255,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779326,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779738,0.92,0.85,0.77, (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 v2,1,0,7.69,0.0,13,9
779745,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779789,0.78,0.78,0.56, (v1_2) v1 (v1_2) v2 (v1_2),0,0,0.0,0.0,5,5
779792,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779794,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779797,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779802,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779807,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779811,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779818,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779832,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779838,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779564,0.73,0.27,0.0, v1 v2 v1,0,8,0.0,72.73,8,11
779576,0.5,0.5,0.0, v2 v1,0,1,0.0,50.0,1,2
779578,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779595,1.0,0.0,0.0, v1,1,1,50.0,100.0,2,1
779597,1.0,0.0,0.0, v1,7,1,87.5,100.0,8,1
779599,0.29,0.71,0.0, v1 v2 v1 v2,2,2,50.0,28.57,4,7
779606,0.53,0.67,0.2, v1 (v1_2) v1 v2 (v1_2) v2 v1 v2 (v1_2) v1 v2,1,5,11.11,33.33,9,15
779610,0.5,0.5,0.0, v2 v1,0,1,0.0,50.0,1,2
779628,0.5,0.75,0.25, (v1_2) v2 v1,0,0,0.0,0.0,2,3
779631,0.0,1.0,0.0, v2,0,2,0.0,66.67,0,3
779632,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779634,0.67,0.33,0.0, v1 v2,0,4,0.0,66.67,4,6
779639,0.83,0.17,0.0, v1 v2,0,5,0.0,83.33,5,6
779647,0.67,0.33,0.0, v1 v2 v1,0,2,0.0,66.67,2,3
779688,1.0,0.0,0.0, v1,1,1,50.0,100.0,2,1
779701,0.97,0.05,0.03, (v1_2) v1 v2 v1,8,35,18.18,94.59,44,37
779718,0.83,0.67,0.5, (v1_2) v1 (v1_2) v1 v2,0,14,0.0,77.78,5,18
779943,0.33,0.67,0.0, v2 v1,1,1,50.0,33.33,2,3
779946,0.33,0.67,0.0, v1 v2,0,1,0.0,33.33,1,3
779951,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779954,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779962,1.0,0.0,0.0, v1,1,1,50.0,100.0,2,1
779978,0.71,0.86,0.57, v2 (v1_2) v1 (v1_2) v1 v2,0,1,0.0,14.29,5,7
780072,0.97,0.77,0.74, (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 v2 (v1_2) v2 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 v2 (v1_2) v1 (v1_2) v1 v2 v1,0,23,0.0,22.77,96,101
780118,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780188,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780204,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780212,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
779916,0.0,1.0,0.0, v2,11,1,100.0,6.25,11,16
779997,0.33,0.67,0.0, v1 v2,1,1,50.0,33.33,2,3
780177,0.5,0.5,0.0, v2 v1,0,1,0.0,50.0,1,2
780232,1.0,0.5,0.5, v1 (v1_2) v1 (v1_2),4,0,50.0,0.0,8,2
780234,0.83,0.67,0.5, v1 (v1_2) v1 (v1_2) v2,2,10,33.33,71.43,6,14
780240,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780254,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780282,1.0,0.43,0.43, v1 (v1_2) v1 (v1_2) v1 (v1_2),1,0,12.5,0.0,8,3
780395,1.0,0.0,0.0, v1,2,0,33.33,0.0,6,0
780401,0.67,0.33,0.0, v2 v1,0,1,0.0,50.0,2,2
780422,0.5,0.69,0.19, v2 v1 (v1_2) v2 v1 (v1_2) v2 v1 (v1_2) v2 v1,8,0,50.0,0.0,16,11
780424,0.33,0.67,0.0, v1 v2,0,1,0.0,20.0,2,5
780425,0.82,0.45,0.27, v1 v2 (v1_2) v1 (v1_2) v1 v2 v1,2,5,18.18,50.0,11,10
780426,0.86,0.14,0.0, v1 v2 v1,1,2,14.29,66.67,7,3
780428,0.67,0.33,0.0, v1 v2,1,2,33.33,66.67,3,3
780432,0.5,0.5,0.0, v1 v2,2,2,50.0,50.0,4,4
780436,0.5,0.5,0.0, v2 v1,1,1,50.0,50.0,2,2
780441,0.5,0.5,0.0, v2 v1,2,1,66.67,50.0,3,2
780444,0.6,0.4,0.0, v2 v1,13,0,68.42,0.0,19,4
780448,0.67,0.33,0.0, v2 v1,1,1,33.33,50.0,3,2
780454,1.0,0.0,0.0, v1,1,1,50.0,100.0,2,1
780456,0.0,1.0,0.0, v2,6,1,100.0,11.11,6,9
780458,0.67,0.33,0.0, v2 v1,1,2,33.33,66.67,3,3
780461,0.5,0.5,0.0, v2 v1,3,1,75.0,50.0,4,2
780430,0.0,1.0,0.0, v2,0,1,0.0,50.0,0,2
780472,1.0,0.0,0.0, v1,8,1,80.0,100.0,10,1
780486,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780597,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780537,0.75,0.25,0.0, v1 v2 v1,1,2,25.0,66.67,4,3
780583,0.67,0.33,0.0, v2 v1,1,0,20.0,0.0,5,2
780612,0.0,1.0,0.0, v2,0,4,0.0,80.0,0,5
780613,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
780620,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
780621,0.0,1.0,0.0, v2,0,75,0.0,63.56,0,118
780688,0.89,0.11,0.0, v1 v2,1,2,11.11,66.67,9,3
780689,1.0,0.06,0.06, v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 v2 (v1_2) v1 (v1_2) v1,1,7,0.25,50.0,402,14
780726,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
