chunk_id,has_duplication,chunk_size,resolution_size
794527,False,16,7
794557,False,10,3
794559,False,12,2
794561,False,10,2
794563,False,10,2
794564,False,17,9
794565,False,10,2
794566,False,21,3
794569,False,16,4
794571,False,16,9
794573,False,16,2
794578,False,9,2
794586,False,11,2
794613,False,27,13
794730,False,10,3
794733,False,12,2
794736,False,10,2
794738,False,10,2
794741,False,17,8
794745,False,10,2
794762,False,21,4
794768,False,16,9
794771,False,16,2
794775,False,9,2
794783,False,11,2
794749,False,27,14
794781,False,18,11
794786,False,32,16
794789,False,19,10
794804,False,27,14
794845,False,83,38
794829,False,9,2
794835,False,11,3
794887,False,15,8
794957,False,27,18
794962,False,27,10
795027,False,16,8
795115,False,15,5
795131,False,12,4
795171,False,48,28
795187,False,38,4
795220,False,11,3
795226,False,17,10
795251,False,21,9
795291,False,13,4
795302,False,20,12
795604,False,71,32
795695,False,47,24
795717,False,72,37
795833,False,16,7
795834,False,15,3
795874,False,10,2
795880,False,11,3
795888,False,11,3
795909,False,13,4
795912,False,10,2
795915,False,141,12
795965,False,10,2
795977,False,12,6
795980,False,10,3
795986,False,121,3
795849,False,17,7
795896,False,21,11
796005,False,14,4
796011,False,11,3
796014,False,11,3
796018,False,11,3
796109,False,40,23
796117,False,20,13
796136,False,109,102
796158,False,18,10
796162,False,22,9
796478,False,20,10
796485,False,10,3
796489,False,13,4
796498,False,15,8
796508,False,12,4
796581,False,16,6
796587,False,14,7
796592,False,11,4
796648,False,14,4
796707,False,11,4
796710,False,17,9
796693,False,10,3
796696,False,13,2
796699,False,16,9
796731,False,16,4
796734,False,12,5
796739,False,14,7
796820,False,12,4
796828,False,35,26
797140,False,9,2
797158,False,30,15
797166,False,24,13
797173,False,14,6
797178,False,10,3
797181,False,21,11
797190,False,28,13
797194,False,10,3
797196,False,16,8
797203,False,14,8
797207,False,10,3
797210,False,14,6
797214,False,10,3
797217,False,10,3
797220,False,10,3
797223,False,10,3
797227,False,10,3
797230,False,10,4
797233,False,10,4
797236,False,10,3
797250,False,10,3
797252,False,10,3
797254,False,10,3
797256,False,10,3
797258,False,76,47
797267,False,14,6
797270,False,10,3
797272,False,10,3
797274,False,16,9
797277,False,10,3
797279,False,14,6
797282,False,10,3
797284,False,10,3
797286,False,13,6
797292,False,12,5
797295,False,10,3
797297,False,10,3
797304,False,10,3
797306,False,10,3
797308,False,19,8
797311,False,15,7
797314,False,18,9
797320,False,10,3
797322,False,14,7
797324,False,14,7
797327,False,15,10
797329,False,17,11
797334,False,17,9
797338,False,12,4
797340,False,13,5
797343,False,13,6
797348,False,46,16
797353,False,36,27
797358,False,28,16
797363,False,10,3
797365,False,10,3
797367,False,19,8
797370,False,10,3
797372,False,11,4
797387,False,26,7
797391,False,12,4
797393,False,10,3
797396,False,10,3
797398,False,10,3
797400,False,51,26
797407,False,10,3
797409,False,10,3
797413,False,10,3
797415,False,28,21
797419,False,10,3
797421,False,10,3
797423,False,17,12
797427,False,10,3
797428,False,24,15
797432,False,22,5
797435,False,12,5
797437,False,12,5
797438,False,12,5
797441,False,12,5
797443,False,12,5
797444,False,10,3
797447,False,10,3
797450,False,20,4
797453,False,19,12
797456,False,25,17
797460,False,15,8
797464,False,15,3
797465,False,10,3
797468,False,10,3
797470,False,10,3
797472,False,12,5
797476,False,12,5
797480,False,12,5
797483,False,12,5
797486,False,12,5
797493,False,10,3
797496,False,10,3
797504,False,10,3
797505,False,10,3
797512,False,15,8
797516,False,43,24
797522,False,23,9
797535,False,10,3
797555,False,10,3
797557,False,10,3
797560,False,10,3
797561,False,10,3
797563,False,10,3
797566,False,28,4
797591,False,12,4
797593,False,107,84
797616,False,15,8
797621,False,11,3
797636,False,17,4
797643,False,10,3
797644,False,27,11
797686,False,14,5
797697,False,16,3
797700,False,13,4
797706,False,15,10
797717,False,16,8
797720,False,16,8
797722,False,16,8
797725,False,40,23
797850,False,10,3
798752,False,11,3
798958,False,11,4
800017,False,13,6
798430,False,35,7
798012,False,42,13
798021,False,148,74
798020,False,10,3
798026,False,10,3
798032,False,19,8
798036,False,19,8
798050,False,12,5
798053,False,20,13
798070,False,24,15
798072,False,16,3
798099,False,410,28
800361,False,28,2
800362,False,33,9
800378,False,15,5
800452,False,30,14
800458,False,21,6
800494,False,13,6
800508,False,19,11
800540,False,19,10
800543,False,15,7
800614,False,23,7
800618,False,12,3
800642,False,15,4
800645,False,14,5
800035,False,10,3
800037,False,84,74
800044,False,24,10
800053,False,10,3
800055,False,9,2
800062,False,11,3
800063,False,11,3
800066,False,11,5
800068,False,11,3
800071,False,11,3
800072,False,11,3
800088,False,11,3
800090,False,11,3
800092,False,11,3
800095,False,11,3
800098,False,11,3
800100,False,11,3
800703,False,10,3
800705,False,17,5
800709,False,19,9
800766,False,11,3
800933,False,31,21
801385,False,11,3
801410,False,44,17
801481,False,15,4
800885,False,239,126
800103,False,12,4
801626,False,12,2
800105,False,10,4
801631,False,16,7
801672,False,134,116
801699,False,18,7
801734,False,134,116
801758,False,12,5
800123,False,15,8
801673,False,10,4
801675,False,16,5
801683,False,11,3
801686,False,11,3
801687,False,19,4
801691,False,13,3
801693,False,16,3
801717,False,11,3
801703,False,11,2
801679,False,19,11
801681,False,11,3
800149,False,11,3
801682,False,11,3
800152,False,11,3
800155,False,16,8
800159,False,16,8
801729,False,12,4
800228,False,10,3
800233,False,33,12
801781,False,46,30
801785,False,27,13
801963,False,14,2
801886,False,23,5
800260,False,14,7
802120,False,14,7
802121,False,12,5
802125,False,21,4
802152,False,12,4
802154,False,12,4
802157,False,24,10
802158,False,12,4
802167,False,20,7
802168,False,41,10
802269,False,16,8
802202,False,10,3
802209,False,10,2
802211,False,42,17
802295,False,12,5
802213,False,13,6
802216,False,20,7
802222,False,20,7
802239,False,13,6
802241,False,22,8
802249,False,23,8
802351,False,12,4
802256,False,23,8
802394,False,13,4
802416,False,9,2
803192,False,31,23
803048,False,24,10
803117,False,29,15
803135,False,752,358
803189,False,13,4
803213,False,17,9
803217,False,19,9
803143,False,12,5
803144,False,18,11
803233,False,12,4
803243,False,10,3
803255,False,16,3
803277,False,11,3
803479,False,20,10
803775,False,14,5
803195,False,31,13
803910,False,26,19
804175,False,18,6
804204,False,21,7
804260,False,16,3
804284,False,10,2
804287,False,10,2
804299,False,21,7
804951,False,11,3
804953,False,11,3
804954,False,11,3
804956,False,11,3
804963,False,12,5
804832,False,10,3
804851,False,10,5
804861,False,11,3
804988,False,9,2
805214,False,28,13
805224,False,17,11
805262,False,35,17
805356,False,298,166
805722,False,127,121
805895,False,17,7
806167,False,54,8
806320,False,149,73
806281,False,11,3
806283,False,11,3
806285,False,16,3
806287,False,12,3
806288,False,11,3
